id;name;lv;powerValue;ranking;card_star;card_lv;card_count;skill_lv
1;robot00001;100;10000;1;5;55;4;5
2;robot00002;100;10000;2;5;55;4;5
3;robot00003;100;10000;3;5;55;4;5
4;robot00004;100;10000;4;5;55;4;5
5;robot00005;100;10000;5;5;55;4;5
6;robot00006;100;10000;6;5;55;4;5
7;robot00007;100;10000;7;5;55;4;5
8;robot00008;100;10000;8;5;55;4;5
9;robot00009;100;10000;9;5;55;4;5
10;robot00010;100;10000;10;5;55;4;5
11;robot00011;100;10000;11;5;55;4;5
12;robot00012;100;10000;12;5;55;4;5
13;robot00013;100;10000;13;5;55;4;5
14;robot00014;100;10000;14;5;55;4;5
15;robot00015;100;10000;15;5;55;4;5
16;robot00016;100;10000;16;5;55;4;5
17;robot00017;100;10000;17;5;55;4;5
18;robot00018;100;10000;18;5;55;4;5
19;robot00019;100;10000;19;5;55;4;5
20;robot00020;100;10000;20;5;55;4;5
21;robot00021;100;10000;21;5;55;4;5
22;robot00022;100;10000;22;5;55;4;5
23;robot00023;100;10000;23;5;55;4;5
24;robot00024;100;10000;24;5;55;4;5
25;robot00025;100;10000;25;5;55;4;5
26;robot00026;100;10000;26;5;55;4;5
27;robot00027;100;10000;27;5;55;4;5
28;robot00028;100;10000;28;5;55;4;5
29;robot00029;100;10000;29;5;55;4;5
30;robot00030;100;10000;30;5;55;4;5
31;robot00031;100;10000;31;5;55;4;5
32;robot00032;100;10000;32;5;55;4;5
33;robot00033;100;10000;33;5;55;4;5
34;robot00034;100;10000;34;5;55;4;5
35;robot00035;100;10000;35;5;55;4;5
36;robot00036;100;10000;36;5;55;4;5
37;robot00037;100;10000;37;5;55;4;5
38;robot00038;100;10000;38;5;55;4;5
39;robot00039;100;10000;39;5;55;4;5
40;robot00040;100;10000;40;5;55;4;5
41;robot00041;100;10000;41;5;55;4;5
42;robot00042;100;10000;42;5;55;4;5
43;robot00043;100;10000;43;5;55;4;5
44;robot00044;100;10000;44;5;55;4;5
45;robot00045;100;10000;45;5;55;4;5
46;robot00046;100;10000;46;5;55;4;5
47;robot00047;100;10000;47;5;55;4;5
48;robot00048;100;10000;48;5;55;4;5
49;robot00049;100;10000;49;5;55;4;5
50;robot00050;100;10000;50;5;55;4;5
51;robot00051;100;10000;51;5;55;4;5
52;robot00052;100;10000;52;5;55;4;5
53;robot00053;100;10000;53;5;55;4;5
54;robot00054;100;10000;54;5;55;4;5
55;robot00055;100;10000;55;5;55;4;5
56;robot00056;100;10000;56;5;55;4;5
57;robot00057;100;10000;57;5;55;4;5
58;robot00058;100;10000;58;5;55;4;5
59;robot00059;100;10000;59;5;55;4;5
60;robot00060;100;10000;60;5;55;4;5
61;robot00061;100;10000;61;5;55;4;5
62;robot00062;100;10000;62;5;55;4;5
63;robot00063;100;10000;63;5;55;4;5
64;robot00064;100;10000;64;5;55;4;5
65;robot00065;100;10000;65;5;55;4;5
66;robot00066;100;10000;66;5;55;4;5
67;robot00067;100;10000;67;5;55;4;5
68;robot00068;100;10000;68;5;55;4;5
69;robot00069;100;10000;69;5;55;4;5
70;robot00070;100;10000;70;5;55;4;5
71;robot00071;100;10000;71;5;55;4;5
72;robot00072;100;10000;72;5;55;4;5
73;robot00073;100;10000;73;5;55;4;5
74;robot00074;100;10000;74;5;55;4;5
75;robot00075;100;10000;75;5;55;4;5
76;robot00076;100;10000;76;5;55;4;5
77;robot00077;100;10000;77;5;55;4;5
78;robot00078;100;10000;78;5;55;4;5
79;robot00079;100;10000;79;5;55;4;5
80;robot00080;100;10000;80;5;55;4;5
81;robot00081;100;10000;81;5;55;4;5
82;robot00082;100;10000;82;5;55;4;5
83;robot00083;100;10000;83;5;55;4;5
84;robot00084;100;10000;84;5;55;4;5
85;robot00085;100;10000;85;5;55;4;5
86;robot00086;100;10000;86;5;55;4;5
87;robot00087;100;10000;87;5;55;4;5
88;robot00088;100;10000;88;5;55;4;5
89;robot00089;100;10000;89;5;55;4;5
90;robot00090;100;10000;90;5;55;4;5
91;robot00091;100;10000;91;5;55;4;5
92;robot00092;100;10000;92;5;55;4;5
93;robot00093;100;10000;93;5;55;4;5
94;robot00094;100;10000;94;5;55;4;5
95;robot00095;100;10000;95;5;55;4;5
96;robot00096;100;10000;96;5;55;4;5
97;robot00097;100;10000;97;5;55;4;5
98;robot00098;100;10000;98;5;55;4;5
99;robot00099;100;10000;99;5;55;4;5
100;robot00100;100;10000;100;5;55;4;5
101;robot00101;100;10000;101;5;55;4;5
102;robot00102;100;10000;102;5;55;4;5
103;robot00103;100;10000;103;5;55;4;5
104;robot00104;100;10000;104;5;55;4;5
105;robot00105;100;10000;105;5;55;4;5
106;robot00106;100;10000;106;5;55;4;5
107;robot00107;100;10000;107;5;55;4;5
108;robot00108;100;10000;108;5;55;4;5
109;robot00109;100;10000;109;5;55;4;5
110;robot00110;100;10000;110;5;55;4;5
111;robot00111;100;10000;111;5;55;4;5
112;robot00112;100;10000;112;5;55;4;5
113;robot00113;100;10000;113;5;55;4;5
114;robot00114;100;10000;114;5;55;4;5
115;robot00115;100;10000;115;5;55;4;5
116;robot00116;100;10000;116;5;55;4;5
117;robot00117;100;10000;117;5;55;4;5
118;robot00118;100;10000;118;5;55;4;5
119;robot00119;100;10000;119;5;55;4;5
120;robot00120;100;10000;120;5;55;4;5
121;robot00121;100;10000;121;5;55;4;5
122;robot00122;100;10000;122;5;55;4;5
123;robot00123;100;10000;123;5;55;4;5
124;robot00124;100;10000;124;5;55;4;5
125;robot00125;100;10000;125;5;55;4;5
126;robot00126;100;10000;126;5;55;4;5
127;robot00127;100;10000;127;5;55;4;5
128;robot00128;100;10000;128;5;55;4;5
129;robot00129;100;10000;129;5;55;4;5
130;robot00130;100;10000;130;5;55;4;5
131;robot00131;100;10000;131;5;55;4;5
132;robot00132;100;10000;132;5;55;4;5
133;robot00133;100;10000;133;5;55;4;5
134;robot00134;100;10000;134;5;55;4;5
135;robot00135;100;10000;135;5;55;4;5
136;robot00136;100;10000;136;5;55;4;5
137;robot00137;100;10000;137;5;55;4;5
138;robot00138;100;10000;138;5;55;4;5
139;robot00139;100;10000;139;5;55;4;5
140;robot00140;100;10000;140;5;55;4;5
141;robot00141;100;10000;141;5;55;4;5
142;robot00142;100;10000;142;5;55;4;5
143;robot00143;100;10000;143;5;55;4;5
144;robot00144;100;10000;144;5;55;4;5
145;robot00145;100;10000;145;5;55;4;5
146;robot00146;100;10000;146;5;55;4;5
147;robot00147;100;10000;147;5;55;4;5
148;robot00148;100;10000;148;5;55;4;5
149;robot00149;100;10000;149;5;55;4;5
150;robot00150;100;10000;150;5;55;4;5
151;robot00151;100;10000;151;5;55;4;5
152;robot00152;100;10000;152;5;55;4;5
153;robot00153;100;10000;153;5;55;4;5
154;robot00154;100;10000;154;5;55;4;5
155;robot00155;100;10000;155;5;55;4;5
156;robot00156;100;10000;156;5;55;4;5
157;robot00157;100;10000;157;5;55;4;5
158;robot00158;100;10000;158;5;55;4;5
159;robot00159;100;10000;159;5;55;4;5
160;robot00160;100;10000;160;5;55;4;5
161;robot00161;100;10000;161;5;55;4;5
162;robot00162;100;10000;162;5;55;4;5
163;robot00163;100;10000;163;5;55;4;5
164;robot00164;100;10000;164;5;55;4;5
165;robot00165;100;10000;165;5;55;4;5
166;robot00166;100;10000;166;5;55;4;5
167;robot00167;100;10000;167;5;55;4;5
168;robot00168;100;10000;168;5;55;4;5
169;robot00169;100;10000;169;5;55;4;5
170;robot00170;100;10000;170;5;55;4;5
171;robot00171;100;10000;171;5;55;4;5
172;robot00172;100;10000;172;5;55;4;5
173;robot00173;100;10000;173;5;55;4;5
174;robot00174;100;10000;174;5;55;4;5
175;robot00175;100;10000;175;5;55;4;5
176;robot00176;100;10000;176;5;55;4;5
177;robot00177;100;10000;177;5;55;4;5
178;robot00178;100;10000;178;5;55;4;5
179;robot00179;100;10000;179;5;55;4;5
180;robot00180;100;10000;180;5;55;4;5
181;robot00181;100;10000;181;5;55;4;5
182;robot00182;100;10000;182;5;55;4;5
183;robot00183;100;10000;183;5;55;4;5
184;robot00184;100;10000;184;5;55;4;5
185;robot00185;100;10000;185;5;55;4;5
186;robot00186;100;10000;186;5;55;4;5
187;robot00187;100;10000;187;5;55;4;5
188;robot00188;100;10000;188;5;55;4;5
189;robot00189;100;10000;189;5;55;4;5
190;robot00190;100;10000;190;5;55;4;5
191;robot00191;100;10000;191;5;55;4;5
192;robot00192;100;10000;192;5;55;4;5
193;robot00193;100;10000;193;5;55;4;5
194;robot00194;100;10000;194;5;55;4;5
195;robot00195;100;10000;195;5;55;4;5
196;robot00196;100;10000;196;5;55;4;5
197;robot00197;100;10000;197;5;55;4;5
198;robot00198;100;10000;198;5;55;4;5
199;robot00199;100;10000;199;5;55;4;5
200;robot00200;100;10000;200;5;55;4;5
201;robot00201;100;10000;201;5;55;4;5
202;robot00202;100;10000;202;5;55;4;5
203;robot00203;100;10000;203;5;55;4;5
204;robot00204;100;10000;204;5;55;4;5
205;robot00205;100;10000;205;5;55;4;5
206;robot00206;100;10000;206;5;55;4;5
207;robot00207;100;10000;207;5;55;4;5
208;robot00208;100;10000;208;5;55;4;5
209;robot00209;100;10000;209;5;55;4;5
210;robot00210;100;10000;210;5;55;4;5
211;robot00211;100;10000;211;5;55;4;5
212;robot00212;100;10000;212;5;55;4;5
213;robot00213;100;10000;213;5;55;4;5
214;robot00214;100;10000;214;5;55;4;5
215;robot00215;100;10000;215;5;55;4;5
216;robot00216;100;10000;216;5;55;4;5
217;robot00217;100;10000;217;5;55;4;5
218;robot00218;100;10000;218;5;55;4;5
219;robot00219;100;10000;219;5;55;4;5
220;robot00220;100;10000;220;5;55;4;5
221;robot00221;100;10000;221;5;55;4;5
222;robot00222;100;10000;222;5;55;4;5
223;robot00223;100;10000;223;5;55;4;5
224;robot00224;100;10000;224;5;55;4;5
225;robot00225;100;10000;225;5;55;4;5
226;robot00226;100;10000;226;5;55;4;5
227;robot00227;100;10000;227;5;55;4;5
228;robot00228;100;10000;228;5;55;4;5
229;robot00229;100;10000;229;5;55;4;5
230;robot00230;100;10000;230;5;55;4;5
231;robot00231;100;10000;231;5;55;4;5
232;robot00232;100;10000;232;5;55;4;5
233;robot00233;100;10000;233;5;55;4;5
234;robot00234;100;10000;234;5;55;4;5
235;robot00235;100;10000;235;5;55;4;5
236;robot00236;100;10000;236;5;55;4;5
237;robot00237;100;10000;237;5;55;4;5
238;robot00238;100;10000;238;5;55;4;5
239;robot00239;100;10000;239;5;55;4;5
240;robot00240;100;10000;240;5;55;4;5
241;robot00241;100;10000;241;5;55;4;5
242;robot00242;100;10000;242;5;55;4;5
243;robot00243;100;10000;243;5;55;4;5
244;robot00244;100;10000;244;5;55;4;5
245;robot00245;100;10000;245;5;55;4;5
246;robot00246;100;10000;246;5;55;4;5
247;robot00247;100;10000;247;5;55;4;5
248;robot00248;100;10000;248;5;55;4;5
249;robot00249;100;10000;249;5;55;4;5
250;robot00250;100;10000;250;5;55;4;5
251;robot00251;100;10000;251;5;55;4;5
252;robot00252;100;10000;252;5;55;4;5
253;robot00253;100;10000;253;5;55;4;5
254;robot00254;100;10000;254;5;55;4;5
255;robot00255;100;10000;255;5;55;4;5
256;robot00256;100;10000;256;5;55;4;5
257;robot00257;100;10000;257;5;55;4;5
258;robot00258;100;10000;258;5;55;4;5
259;robot00259;100;10000;259;5;55;4;5
260;robot00260;100;10000;260;5;55;4;5
261;robot00261;100;10000;261;5;55;4;5
262;robot00262;100;10000;262;5;55;4;5
263;robot00263;100;10000;263;5;55;4;5
264;robot00264;100;10000;264;5;55;4;5
265;robot00265;100;10000;265;5;55;4;5
266;robot00266;100;10000;266;5;55;4;5
267;robot00267;100;10000;267;5;55;4;5
268;robot00268;100;10000;268;5;55;4;5
269;robot00269;100;10000;269;5;55;4;5
270;robot00270;100;10000;270;5;55;4;5
271;robot00271;100;10000;271;5;55;4;5
272;robot00272;100;10000;272;5;55;4;5
273;robot00273;100;10000;273;5;55;4;5
274;robot00274;100;10000;274;5;55;4;5
275;robot00275;100;10000;275;5;55;4;5
276;robot00276;100;10000;276;5;55;4;5
277;robot00277;100;10000;277;5;55;4;5
278;robot00278;100;10000;278;5;55;4;5
279;robot00279;100;10000;279;5;55;4;5
280;robot00280;100;10000;280;5;55;4;5
281;robot00281;100;10000;281;5;55;4;5
282;robot00282;100;10000;282;5;55;4;5
283;robot00283;100;10000;283;5;55;4;5
284;robot00284;100;10000;284;5;55;4;5
285;robot00285;100;10000;285;5;55;4;5
286;robot00286;100;10000;286;5;55;4;5
287;robot00287;100;10000;287;5;55;4;5
288;robot00288;100;10000;288;5;55;4;5
289;robot00289;100;10000;289;5;55;4;5
290;robot00290;100;10000;290;5;55;4;5
291;robot00291;100;10000;291;5;55;4;5
292;robot00292;100;10000;292;5;55;4;5
293;robot00293;100;10000;293;5;55;4;5
294;robot00294;100;10000;294;5;55;4;5
295;robot00295;100;10000;295;5;55;4;5
296;robot00296;100;10000;296;5;55;4;5
297;robot00297;100;10000;297;5;55;4;5
298;robot00298;100;10000;298;5;55;4;5
299;robot00299;100;10000;299;5;55;4;5
300;robot00300;100;10000;300;5;55;4;5
301;robot00301;100;10000;301;5;55;4;5
302;robot00302;100;10000;302;5;55;4;5
303;robot00303;100;10000;303;5;55;4;5
304;robot00304;100;10000;304;5;55;4;5
305;robot00305;100;10000;305;5;55;4;5
306;robot00306;100;10000;306;5;55;4;5
307;robot00307;100;10000;307;5;55;4;5
308;robot00308;100;10000;308;5;55;4;5
309;robot00309;100;10000;309;5;55;4;5
310;robot00310;100;10000;310;5;55;4;5
311;robot00311;100;10000;311;5;55;4;5
312;robot00312;100;10000;312;5;55;4;5
313;robot00313;100;10000;313;5;55;4;5
314;robot00314;100;10000;314;5;55;4;5
315;robot00315;100;10000;315;5;55;4;5
316;robot00316;100;10000;316;5;55;4;5
317;robot00317;100;10000;317;5;55;4;5
318;robot00318;100;10000;318;5;55;4;5
319;robot00319;100;10000;319;5;55;4;5
320;robot00320;100;10000;320;5;55;4;5
321;robot00321;100;10000;321;5;55;4;5
322;robot00322;100;10000;322;5;55;4;5
323;robot00323;100;10000;323;5;55;4;5
324;robot00324;100;10000;324;5;55;4;5
325;robot00325;100;10000;325;5;55;4;5
326;robot00326;100;10000;326;5;55;4;5
327;robot00327;100;10000;327;5;55;4;5
328;robot00328;100;10000;328;5;55;4;5
329;robot00329;100;10000;329;5;55;4;5
330;robot00330;100;10000;330;5;55;4;5
331;robot00331;100;10000;331;5;55;4;5
332;robot00332;100;10000;332;5;55;4;5
333;robot00333;100;10000;333;5;55;4;5
334;robot00334;100;10000;334;5;55;4;5
335;robot00335;100;10000;335;5;55;4;5
336;robot00336;100;10000;336;5;55;4;5
337;robot00337;100;10000;337;5;55;4;5
338;robot00338;100;10000;338;5;55;4;5
339;robot00339;100;10000;339;5;55;4;5
340;robot00340;100;10000;340;5;55;4;5
341;robot00341;100;10000;341;5;55;4;5
342;robot00342;100;10000;342;5;55;4;5
343;robot00343;100;10000;343;5;55;4;5
344;robot00344;100;10000;344;5;55;4;5
345;robot00345;100;10000;345;5;55;4;5
346;robot00346;100;10000;346;5;55;4;5
347;robot00347;100;10000;347;5;55;4;5
348;robot00348;100;10000;348;5;55;4;5
349;robot00349;100;10000;349;5;55;4;5
350;robot00350;100;10000;350;5;55;4;5
351;robot00351;100;10000;351;5;55;4;5
352;robot00352;100;10000;352;5;55;4;5
353;robot00353;100;10000;353;5;55;4;5
354;robot00354;100;10000;354;5;55;4;5
355;robot00355;100;10000;355;5;55;4;5
356;robot00356;100;10000;356;5;55;4;5
357;robot00357;100;10000;357;5;55;4;5
358;robot00358;100;10000;358;5;55;4;5
359;robot00359;100;10000;359;5;55;4;5
360;robot00360;100;10000;360;5;55;4;5
361;robot00361;100;10000;361;5;55;4;5
362;robot00362;100;10000;362;5;55;4;5
363;robot00363;100;10000;363;5;55;4;5
364;robot00364;100;10000;364;5;55;4;5
365;robot00365;100;10000;365;5;55;4;5
366;robot00366;100;10000;366;5;55;4;5
367;robot00367;100;10000;367;5;55;4;5
368;robot00368;100;10000;368;5;55;4;5
369;robot00369;100;10000;369;5;55;4;5
370;robot00370;100;10000;370;5;55;4;5
371;robot00371;100;10000;371;5;55;4;5
372;robot00372;100;10000;372;5;55;4;5
373;robot00373;100;10000;373;5;55;4;5
374;robot00374;100;10000;374;5;55;4;5
375;robot00375;100;10000;375;5;55;4;5
376;robot00376;100;10000;376;5;55;4;5
377;robot00377;100;10000;377;5;55;4;5
378;robot00378;100;10000;378;5;55;4;5
379;robot00379;100;10000;379;5;55;4;5
380;robot00380;100;10000;380;5;55;4;5
381;robot00381;100;10000;381;5;55;4;5
382;robot00382;100;10000;382;5;55;4;5
383;robot00383;100;10000;383;5;55;4;5
384;robot00384;100;10000;384;5;55;4;5
385;robot00385;100;10000;385;5;55;4;5
386;robot00386;100;10000;386;5;55;4;5
387;robot00387;100;10000;387;5;55;4;5
388;robot00388;100;10000;388;5;55;4;5
389;robot00389;100;10000;389;5;55;4;5
390;robot00390;100;10000;390;5;55;4;5
391;robot00391;100;10000;391;5;55;4;5
392;robot00392;100;10000;392;5;55;4;5
393;robot00393;100;10000;393;5;55;4;5
394;robot00394;100;10000;394;5;55;4;5
395;robot00395;100;10000;395;5;55;4;5
396;robot00396;100;10000;396;5;55;4;5
397;robot00397;100;10000;397;5;55;4;5
398;robot00398;100;10000;398;5;55;4;5
399;robot00399;100;10000;399;5;55;4;5
400;robot00400;100;10000;400;5;55;4;5
401;robot00401;100;10000;401;5;55;4;5
402;robot00402;100;10000;402;5;55;4;5
403;robot00403;100;10000;403;5;55;4;5
404;robot00404;100;10000;404;5;55;4;5
405;robot00405;100;10000;405;5;55;4;5
406;robot00406;100;10000;406;5;55;4;5
407;robot00407;100;10000;407;5;55;4;5
408;robot00408;100;10000;408;5;55;4;5
409;robot00409;100;10000;409;5;55;4;5
410;robot00410;100;10000;410;5;55;4;5
411;robot00411;100;10000;411;5;55;4;5
412;robot00412;100;10000;412;5;55;4;5
413;robot00413;100;10000;413;5;55;4;5
414;robot00414;100;10000;414;5;55;4;5
415;robot00415;100;10000;415;5;55;4;5
416;robot00416;100;10000;416;5;55;4;5
417;robot00417;100;10000;417;5;55;4;5
418;robot00418;100;10000;418;5;55;4;5
419;robot00419;100;10000;419;5;55;4;5
420;robot00420;100;10000;420;5;55;4;5
421;robot00421;100;10000;421;5;55;4;5
422;robot00422;100;10000;422;5;55;4;5
423;robot00423;100;10000;423;5;55;4;5
424;robot00424;100;10000;424;5;55;4;5
425;robot00425;100;10000;425;5;55;4;5
426;robot00426;100;10000;426;5;55;4;5
427;robot00427;100;10000;427;5;55;4;5
428;robot00428;100;10000;428;5;55;4;5
429;robot00429;100;10000;429;5;55;4;5
430;robot00430;100;10000;430;5;55;4;5
431;robot00431;100;10000;431;5;55;4;5
432;robot00432;100;10000;432;5;55;4;5
433;robot00433;100;10000;433;5;55;4;5
434;robot00434;100;10000;434;5;55;4;5
435;robot00435;100;10000;435;5;55;4;5
436;robot00436;100;10000;436;5;55;4;5
437;robot00437;100;10000;437;5;55;4;5
438;robot00438;100;10000;438;5;55;4;5
439;robot00439;100;10000;439;5;55;4;5
440;robot00440;100;10000;440;5;55;4;5
441;robot00441;100;10000;441;5;55;4;5
442;robot00442;100;10000;442;5;55;4;5
443;robot00443;100;10000;443;5;55;4;5
444;robot00444;100;10000;444;5;55;4;5
445;robot00445;100;10000;445;5;55;4;5
446;robot00446;100;10000;446;5;55;4;5
447;robot00447;100;10000;447;5;55;4;5
448;robot00448;100;10000;448;5;55;4;5
449;robot00449;100;10000;449;5;55;4;5
450;robot00450;100;10000;450;5;55;4;5
451;robot00451;100;10000;451;5;55;4;5
452;robot00452;100;10000;452;5;55;4;5
453;robot00453;100;10000;453;5;55;4;5
454;robot00454;100;10000;454;5;55;4;5
455;robot00455;100;10000;455;5;55;4;5
456;robot00456;100;10000;456;5;55;4;5
457;robot00457;100;10000;457;5;55;4;5
458;robot00458;100;10000;458;5;55;4;5
459;robot00459;100;10000;459;5;55;4;5
460;robot00460;100;10000;460;5;55;4;5
461;robot00461;100;10000;461;5;55;4;5
462;robot00462;100;10000;462;5;55;4;5
463;robot00463;100;10000;463;5;55;4;5
464;robot00464;100;10000;464;5;55;4;5
465;robot00465;100;10000;465;5;55;4;5
466;robot00466;100;10000;466;5;55;4;5
467;robot00467;100;10000;467;5;55;4;5
468;robot00468;100;10000;468;5;55;4;5
469;robot00469;100;10000;469;5;55;4;5
470;robot00470;100;10000;470;5;55;4;5
471;robot00471;100;10000;471;5;55;4;5
472;robot00472;100;10000;472;5;55;4;5
473;robot00473;100;10000;473;5;55;4;5
474;robot00474;100;10000;474;5;55;4;5
475;robot00475;100;10000;475;5;55;4;5
476;robot00476;100;10000;476;5;55;4;5
477;robot00477;100;10000;477;5;55;4;5
478;robot00478;100;10000;478;5;55;4;5
479;robot00479;100;10000;479;5;55;4;5
480;robot00480;100;10000;480;5;55;4;5
481;robot00481;100;10000;481;5;55;4;5
482;robot00482;100;10000;482;5;55;4;5
483;robot00483;100;10000;483;5;55;4;5
484;robot00484;100;10000;484;5;55;4;5
485;robot00485;100;10000;485;5;55;4;5
486;robot00486;100;10000;486;5;55;4;5
487;robot00487;100;10000;487;5;55;4;5
488;robot00488;100;10000;488;5;55;4;5
489;robot00489;100;10000;489;5;55;4;5
490;robot00490;100;10000;490;5;55;4;5
491;robot00491;100;10000;491;5;55;4;5
492;robot00492;100;10000;492;5;55;4;5
493;robot00493;100;10000;493;5;55;4;5
494;robot00494;100;10000;494;5;55;4;5
495;robot00495;100;10000;495;5;55;4;5
496;robot00496;100;10000;496;5;55;4;5
497;robot00497;100;10000;497;5;55;4;5
498;robot00498;100;10000;498;5;55;4;5
499;robot00499;100;10000;499;5;55;4;5
500;robot00500;100;10000;500;5;55;4;5
501;robot00501;100;10000;501;5;55;4;5
502;robot00502;100;10000;502;5;55;4;5
503;robot00503;100;10000;503;5;55;4;5
504;robot00504;100;10000;504;5;55;4;5
505;robot00505;100;10000;505;5;55;4;5
506;robot00506;100;10000;506;5;55;4;5
507;robot00507;100;10000;507;5;55;4;5
508;robot00508;100;10000;508;5;55;4;5
509;robot00509;100;10000;509;5;55;4;5
510;robot00510;100;10000;510;5;55;4;5
511;robot00511;100;10000;511;5;55;4;5
512;robot00512;100;10000;512;5;55;4;5
513;robot00513;100;10000;513;5;55;4;5
514;robot00514;100;10000;514;5;55;4;5
515;robot00515;100;10000;515;5;55;4;5
516;robot00516;100;10000;516;5;55;4;5
517;robot00517;100;10000;517;5;55;4;5
518;robot00518;100;10000;518;5;55;4;5
519;robot00519;100;10000;519;5;55;4;5
520;robot00520;100;10000;520;5;55;4;5
521;robot00521;100;10000;521;5;55;4;5
522;robot00522;100;10000;522;5;55;4;5
523;robot00523;100;10000;523;5;55;4;5
524;robot00524;100;10000;524;5;55;4;5
525;robot00525;100;10000;525;5;55;4;5
526;robot00526;100;10000;526;5;55;4;5
527;robot00527;100;10000;527;5;55;4;5
528;robot00528;100;10000;528;5;55;4;5
529;robot00529;100;10000;529;5;55;4;5
530;robot00530;100;10000;530;5;55;4;5
